text,hs_code,hs_chapter,hs_desc,language
"Other parts of cranes, commercial grade, for import, for industrial procurement contract, for mixed-lot cargo.",843149,Machinery,Other parts of cranes,en
"Trade declaration: spark-ignition engines >1000cc, new, for international wholesale distribution, shipping term FOB.",840734,Machinery,Spark-ignition engines >1000cc,en
"Polyethylene terephthalate (PET) for industrial/commercial use, for bonded warehouse delivery, palletized for container shipment.",390760,Plastics,Polyethylene terephthalate (PET),en
"Shipment of tobacco, partly or wholly stemmed, FOB terms, for international wholesale distribution, with standard commercial invoice and packing list.",240120,Tobacco,"Tobacco, partly or wholly stemmed",en
Instruments for measuring pressure for industrial/commercial use,902620,Instruments,Instruments for measuring pressure,en
"Ethylene glycol - standard quality, bulk shipment",290531,Chemicals,Ethylene glycol,en
"Amoxicillin oral suspension, 125mg/5ml, for cross-border shipment, for mixed-lot cargo.",300490,Pharmaceuticals,"Other medicaments, packaged for retail",en
"Light beer, low calorie, 355ml cans, for export under standard commercial terms, packed in cartons.",220300,Beverages,Beer made from malt,en
"Mineral or chemical fertilizers with NPK, commercial grade, for import",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Toilet and kitchen linen of cotton, meeting international standards",630260,Textiles,Toilet and kitchen linen of cotton,en
"Printed circuits, packed for international trade, for industrial procurement contract, for mixed-lot cargo.",853400,Electronics,Printed circuits,en
"OLED television set, 77 inch, colour",852872,Electronics,Other colour TV receivers,en
"Shipment of other cargo vessels, FOB terms, for bonded warehouse delivery, packed in cartons.",890190,Ships,Other cargo vessels,en
"Zip-lock bags, polyethylene, various sizes, for bonded warehouse delivery, shipping term CIF.",392321,Plastics,Sacks and bags of ethylene polymers,en
"Cocoa beans, whole or broken, quantity: various, for wholesale, for regional retail supply chain, for 20ft container loading.",180100,Cocoa,"Cocoa beans, whole or broken",en
Lead-acid accumulators for vehicles for industrial/commercial use,850710,Electronics,Lead-acid accumulators for vehicles,en
"Lithium iron phosphate batteries, LFP",850760,Electronics,Lithium-ion accumulators,en
"Sweet biscuits, quantity: various, for wholesale",190531,Food Preparations,Sweet biscuits,en
"Instruments for measuring pressure, commercial grade, for import",902620,Instruments,Instruments for measuring pressure,en
"绿色咖啡豆 罗布斯塔 未经烘焙, for international wholesale distribution, palletized for container shipment.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",zh
"Imported mixtures of fruit juices, customs declaration, for regional retail supply chain, for 20ft container loading.",200990,Food Preparations,Mixtures of fruit juices,en
"Đường thô từ mía, dạng tinh thể, for bulk procurement program, for mixed-lot cargo.",170199,Sugar,Other cane or beet sugar,vi
"Shipment of mineral or chemical fertilizers with npk, FOB terms",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Wine in containers ≤2L, meeting international standards, for bulk procurement program, with standard commercial invoice and packing list.",220421,Beverages,Wine in containers ≤2L,en
"Men's cotton trousers, woven, casual, for bonded warehouse delivery, for scheduled maritime transport.",620342,Garments,Men's trousers of cotton,en
"Trade declaration: other games and articles for games, new, for cross-border shipment, for scheduled maritime transport.",950490,Toys,Other games and articles for games,en
"Imported instruments for measuring pressure, customs declaration, for bulk procurement program, packed in cartons.",902620,Instruments,Instruments for measuring pressure,en
"Motor cars, >3000cc, packed for international trade, for export under standard commercial terms, for 20ft container loading.",870324,Vehicles,"Motor cars, >3000cc",en
"Electric motor cars (hybrid) - standard quality, bulk shipment",870340,Vehicles,Electric motor cars (hybrid),en
"Shipment of instantaneous gas water heaters, FOB terms, for bonded warehouse delivery, for mixed-lot cargo.",841911,Machinery,Instantaneous gas water heaters,en
"Digital signal processors, IC chips",854231,Electronics,"Electronic integrated circuits, processors",en
"Trade declaration: unbleached plain weave cotton, new, for export under standard commercial terms, palletized for container shipment.",520812,Textiles,Unbleached plain weave cotton,en
"Aeroplanes, unladen weight 2000-15000kg, meeting international standards, for export under standard commercial terms, for scheduled maritime transport.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Silicon, containing ≥99.99% Si, meeting international standards, for bonded warehouse delivery, for mixed-lot cargo.",280461,Chemicals,"Silicon, containing ≥99.99% Si",en
"Bulk frozen shrimp, 10kg master carton, for bonded warehouse delivery, for mixed-lot cargo.",030617,Fish,Frozen shrimps and prawns,en
"Export grade pepper, neither crushed nor ground, certified",090411,Spices,"Pepper, neither crushed nor ground",en
"Rubber sole sneakers, synthetic upper",640399,Footwear,Other footwear with rubber soles,en
"Printed circuits for industrial/commercial use, for industrial procurement contract, with standard commercial invoice and packing list.",853400,Electronics,Printed circuits,en
"Export grade parts for filtering machinery, certified, for export under standard commercial terms, palletized for container shipment.",842199,Machinery,Parts for filtering machinery,en
"三星Galaxy S24 5G智能手机, for cross-border shipment, for mixed-lot cargo.",851712,Electronics,Smartphones,zh
"Uncoated paper, 40-150 g/m², packed for international trade, for cross-border shipment, for 20ft container loading.",480256,Paper,"Uncoated paper, 40-150 g/m²",en
"Other parts for motor vehicles, quantity: various, for wholesale",870899,Vehicles,Other parts for motor vehicles,en
"Soya beans, other - standard quality, bulk shipment, for customs clearance and import declaration, packed in cartons.",120190,Oil Seeds,"Soya beans, other",en
"Other structures of iron or steel for industrial/commercial use, for industrial procurement contract, shipping term CIF.",730890,Steel,Other structures of iron or steel,en
"Parts for filtering machinery, quantity: various, for wholesale",842199,Machinery,Parts for filtering machinery,en
"Clear poly bags for food packaging, for regional retail supply chain, palletized for container shipment.",392321,Plastics,Sacks and bags of ethylene polymers,en
"Vietnamese broken rice, wholly milled",100630,Cereals,Semi-milled or wholly milled rice,en
"Other seats - standard quality, bulk shipment, for regional retail supply chain, for scheduled maritime transport.",940180,Furniture,Other seats,en
"Other needles, catheters, commercial grade, for import, for customs clearance and import declaration, for scheduled maritime transport.",901839,Medical,"Other needles, catheters",en
"Optical fibres and bundles - standard quality, bulk shipment, for export under standard commercial terms, packed in cartons.",900190,Instruments,Optical fibres and bundles,en
"Other medical instruments, packed for international trade",901890,Medical,Other medical instruments,en
"Road tractors for semi-trailers, meeting international standards, for bonded warehouse delivery, for scheduled maritime transport.",870120,Vehicles,Road tractors for semi-trailers,en
"Export grade other electronic integrated circuits, certified, for cross-border shipment, packed in cartons.",854239,Electronics,Other electronic integrated circuits,en
"Household refrigerators, compression, commercial grade, for import, for cross-border shipment, for scheduled maritime transport.",841821,Machinery,"Household refrigerators, compression",en
"Shipment of other beauty or make-up preparations, FOB terms, for bonded warehouse delivery, shipping term FOB.",330499,Cosmetics,Other beauty or make-up preparations,en
"Footwear with uppers of leather, commercial grade, for import, for export under standard commercial terms, for mixed-lot cargo.",640510,Footwear,Footwear with uppers of leather,en
"Insecticides, meeting international standards, for cross-border shipment, palletized for container shipment.",380891,Chemicals,Insecticides,en
"Fresh oranges for industrial/commercial use, for regional retail supply chain, for 20ft container loading.",080510,Fruits,Fresh oranges,en
"Electric motor cars (hybrid), commercial grade, for import, for export under standard commercial terms, for 20ft container loading.",870340,Vehicles,Electric motor cars (hybrid),en
"Whiskies for industrial/commercial use, for bulk procurement program, palletized for container shipment.",220830,Beverages,Whiskies,en
"Other needles, catheters, meeting international standards, for industrial procurement contract, for scheduled maritime transport.",901839,Medical,"Other needles, catheters",en
"มะเขือเทศสดคุณภาพดี สำหรับส่งออก, for regional retail supply chain, palletized for container shipment.",070200,Vegetables,"Tomatoes, fresh or chilled",th
"Wooden headboard, upholstered, for bed, for export under standard commercial terms, packed in cartons.",940350,Furniture,Wooden bedroom furniture,en
"Plates and sheets of ethylene polymers for industrial/commercial use, for industrial procurement contract, palletized for container shipment.",392010,Plastics,Plates and sheets of ethylene polymers,en
"Economy car tyres, new, 175/70R13",401110,Rubber,New pneumatic tyres for cars,en
"Export grade lumber, coniferous, sawn, certified",440710,Wood,"Lumber, coniferous, sawn",en
"Spark-ignition engines >1000cc for industrial/commercial use, for cross-border shipment, palletized for container shipment.",840734,Machinery,Spark-ignition engines >1000cc,en
绿色咖啡豆 罗布斯塔 未经烘焙,090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",zh
"Toilet soap in bars, commercial grade, for import, for cross-border shipment, shipping term FOB.",340111,Cosmetics,Toilet soap in bars,en
"New pneumatic tyres for buses/lorries - standard quality, bulk shipment",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Trade declaration: parts and accessories for computers, new, for customs clearance and import declaration, palletized for container shipment.",847330,Electronics,Parts and accessories for computers,en
"Electronic integrated circuits, memories, quantity: various, for wholesale, for regional retail supply chain, packed in cartons.",854232,Electronics,"Electronic integrated circuits, memories",en
"Export grade electric motor cars (hybrid), certified",870340,Vehicles,Electric motor cars (hybrid),en
"Other cargo vessels, packed for international trade, for industrial procurement contract, packed in cartons.",890190,Ships,Other cargo vessels,en
"Export grade bulbs, tubers for planting, certified, for export under standard commercial terms, packed in cartons.",060110,Plants,"Bulbs, tubers for planting",en
"New pneumatic tyres for buses/lorries, commercial grade, for import",401120,Rubber,New pneumatic tyres for buses/lorries,en
"Other parts of cranes, quantity: various, for wholesale",843149,Machinery,Other parts of cranes,en
"Shipment of static converters, FOB terms",850440,Electronics,Static converters,en
"Battery electric vehicle, new, for passengers, for customs clearance and import declaration, packed in cartons.",870380,Vehicles,"Other motor vehicles, electric",en
"Imported toilet and kitchen linen of cotton, customs declaration",630260,Textiles,Toilet and kitchen linen of cotton,en
"Shipment of other medical instruments, FOB terms",901890,Medical,Other medical instruments,en
"Aluminium T-bars, primary, not alloyed, for bonded warehouse delivery, for mixed-lot cargo.",760110,Metals,"Unwrought aluminium, not alloyed",en
"Fresh Fuji apples from Washington State, for bonded warehouse delivery, palletized for container shipment.",080810,Fruits,Fresh apples,en
"Trade declaration: jerseys, pullovers of man-made fibres, new, for international wholesale distribution, for 20ft container loading.",611030,Garments,"Jerseys, pullovers of man-made fibres",en
"Plates and sheets of ethylene polymers, commercial grade, for import",392010,Plastics,Plates and sheets of ethylene polymers,en
"Unbleached plain weave cotton, packed for international trade, for industrial procurement contract, packed in cartons.",520812,Textiles,Unbleached plain weave cotton,en
"Other parts of cranes for industrial/commercial use, for export under standard commercial terms, shipping term FOB.",843149,Machinery,Other parts of cranes,en
"Toy scooter for kids, push type",950300,Toys,"Tricycles, scooters and pedal cars (toys)",en
"Imported printed circuits, customs declaration, for international wholesale distribution, for scheduled maritime transport.",853400,Electronics,Printed circuits,en
"Lithium polymer battery, for smartphones, for industrial procurement contract, for mixed-lot cargo.",850760,Electronics,Lithium-ion accumulators,en
"Electric motor cars (hybrid), commercial grade, for import, for export under standard commercial terms, for mixed-lot cargo.",870340,Vehicles,Electric motor cars (hybrid),en
"Shipment of instruments for measuring pressure, FOB terms",902620,Instruments,Instruments for measuring pressure,en
"Other digital processing units, meeting international standards, for regional retail supply chain, for 20ft container loading.",847141,Electronics,Other digital processing units,en
"Shipment of lumber, coniferous, sawn, FOB terms, for bonded warehouse delivery, for mixed-lot cargo.",440710,Wood,"Lumber, coniferous, sawn",en
"Instantaneous gas water heaters - standard quality, bulk shipment, for cross-border shipment, packed in cartons.",841911,Machinery,Instantaneous gas water heaters,en
"Other structures of iron or steel, packed for international trade, for cross-border shipment, for 20ft container loading.",730890,Steel,Other structures of iron or steel,en
"Sweet biscuits, commercial grade, for import, for bonded warehouse delivery, for 20ft container loading.",190531,Food Preparations,Sweet biscuits,en
"Omeprazole capsules, 20mg, 30 count, for international wholesale distribution, packed in cartons.",300490,Pharmaceuticals,"Other medicaments, packaged for retail",en
"Export grade instruments for measuring pressure, certified, for industrial procurement contract, packed in cartons.",902620,Instruments,Instruments for measuring pressure,en
"Cartons, boxes of corrugated paper, commercial grade, for import, for industrial procurement contract, for mixed-lot cargo.",481910,Paper,"Cartons, boxes of corrugated paper",en
"Imported green tea in packages ≤3kg, customs declaration, for industrial procurement contract, for scheduled maritime transport.",090210,Coffee/Tea,Green tea in packages ≤3kg,en
"Trade declaration: lead-acid accumulators for vehicles, new, for cross-border shipment, for mixed-lot cargo.",850710,Electronics,Lead-acid accumulators for vehicles,en
"Processing units for digital machines for industrial/commercial use, for industrial procurement contract, for scheduled maritime transport.",847150,Electronics,Processing units for digital machines,en
"น้ำตาลทรายขาวบริสุทธิ์ ICUMSA 45, for customs clearance and import declaration, for 20ft container loading.",170199,Sugar,Other cane or beet sugar,th
"Trade declaration: lumber, coniferous, sawn, new, for customs clearance and import declaration, packed in cartons.",440710,Wood,"Lumber, coniferous, sawn",en
"Toilet and kitchen linen of cotton - standard quality, bulk shipment, for international wholesale distribution, with standard commercial invoice and packing list.",630260,Textiles,Toilet and kitchen linen of cotton,en
"Trade declaration: other structures of iron or steel, new, for export under standard commercial terms, for scheduled maritime transport.",730890,Steel,Other structures of iron or steel,en
"Chemical wood pulp, bleached, meeting international standards, for regional retail supply chain, palletized for container shipment.",470321,Paper,"Chemical wood pulp, bleached",en
"Electrical energy, packed for international trade, for bonded warehouse delivery, for 20ft container loading.",271600,Mineral Fuels,Electrical energy,en
"Export grade soya beans, other, certified, for bulk procurement program, for mixed-lot cargo.",120190,Oil Seeds,"Soya beans, other",en
"Milk with fat content 1-6% - standard quality, bulk shipment",040120,Dairy,Milk with fat content 1-6%,en
"Other beauty or make-up preparations, commercial grade, for import",330499,Cosmetics,Other beauty or make-up preparations,en
"Household refrigerators, compression - standard quality, bulk shipment",841821,Machinery,"Household refrigerators, compression",en
"Beans, fresh or chilled - standard quality, bulk shipment",070820,Vegetables,"Beans, fresh or chilled",en
"Royal Gala fresh apples for supermarket, for bonded warehouse delivery, shipping term CIF.",080810,Fruits,Fresh apples,en
"Pneumatic rubber tires for sedan, new",401110,Rubber,New pneumatic tyres for cars,en
三星Galaxy S24 5G智能手机,851712,Electronics,Smartphones,zh
"Cocoa beans, whole or broken for industrial/commercial use, for international wholesale distribution, for scheduled maritime transport.",180100,Cocoa,"Cocoa beans, whole or broken",en
"Athletic shoes, rubber outsole, knit upper, for export under standard commercial terms, shipping term FOB.",640399,Footwear,Other footwear with rubber soles,en
"Laptop computer, 14 inch, 16GB RAM, for industrial procurement contract, shipping term FOB.",847130,Electronics,Portable digital computers <10kg,en
"Trade declaration: photosensitive semiconductor devices, new, for regional retail supply chain, palletized for container shipment.",854140,Electronics,Photosensitive semiconductor devices,en
"Soya beans, other, commercial grade, for import",120190,Oil Seeds,"Soya beans, other",en
"Television cameras and digital cameras, meeting international standards, for export under standard commercial terms, for mixed-lot cargo.",852580,Electronics,Television cameras and digital cameras,en
"Trade declaration: polyethylene, specific gravity <0.94, new, for bulk procurement program, shipping term FOB.",390110,Plastics,"Polyethylene, specific gravity <0.94",en
"Shipment of storage units for computers, FOB terms, for industrial procurement contract, for mixed-lot cargo.",847170,Electronics,Storage units for computers,en
"เสื้อยืดผ้าฝ้ายถัก คอกลม ผู้ชาย, for international wholesale distribution, for mixed-lot cargo.",610910,Garments,"T-shirts and singlets, cotton, knitted",th
"Static converters, commercial grade, for import",850440,Electronics,Static converters,en
"Export grade aeroplanes, unladen weight 2000-15000kg, certified, for industrial procurement contract, with standard commercial invoice and packing list.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Wheat and meslin, other, meeting international standards, for bulk procurement program, for 20ft container loading.",100199,Cereals,"Wheat and meslin, other",en
"Milled parboiled rice, fortified",100630,Cereals,Semi-milled or wholly milled rice,en
"Crude soya-bean oil for industrial/commercial use, for export under standard commercial terms, shipping term FOB.",150710,Oils,Crude soya-bean oil,en
"Other games and articles for games, quantity: various, for wholesale, for bulk procurement program, for mixed-lot cargo.",950490,Toys,Other games and articles for games,en
"Shipment of sweet biscuits, FOB terms, for regional retail supply chain, packed in cartons.",190531,Food Preparations,Sweet biscuits,en
"Trade declaration: other parts for motor vehicles, new, for regional retail supply chain, for 20ft container loading.",870899,Vehicles,Other parts for motor vehicles,en
"Imported polyethylene terephthalate (pet), customs declaration",390760,Plastics,Polyethylene terephthalate (PET),en
"Vaccines for human medicine for industrial/commercial use, for cross-border shipment, shipping term CIF.",300220,Pharmaceuticals,Vaccines for human medicine,en
"Bananas, fresh or dried, meeting international standards, for international wholesale distribution, for 20ft container loading.",080300,Fruits,"Bananas, fresh or dried",en
"Fresh oranges, packed for international trade, for bonded warehouse delivery, palletized for container shipment.",080510,Fruits,Fresh oranges,en
"Motorcycles, 50-250cc, quantity: various, for wholesale, for industrial procurement contract, palletized for container shipment.",871120,Vehicles,"Motorcycles, 50-250cc",en
"Imported uncoated paper, 40-150 g/m², customs declaration",480256,Paper,"Uncoated paper, 40-150 g/m²",en
"Imported other beauty or make-up preparations, customs declaration, for bulk procurement program, shipping term FOB.",330499,Cosmetics,Other beauty or make-up preparations,en
"Fresh Braeburn apples, orchard packed, for export under standard commercial terms, for mixed-lot cargo.",080810,Fruits,Fresh apples,en
ข้าวเหนียว ขัดสีแล้ว พร้อมส่งออก,100630,Cereals,Semi-milled or wholly milled rice,th
"Electric car, dual motor, all-wheel drive, for bulk procurement program, for scheduled maritime transport.",870380,Vehicles,"Other motor vehicles, electric",en
"Frozen deboned cattle meat, commercial grade",020230,Meat,Frozen boneless bovine meat,en
"Trade declaration: parts of turbo-jets, new, for bulk procurement program, shipping term CIF.",841191,Machinery,Parts of turbo-jets,en
"Aeroplanes, unladen weight 2000-15000kg - standard quality, bulk shipment",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"冷冻南美白虾 31/40规格, for regional retail supply chain, for scheduled maritime transport.",030617,Fish,Frozen shrimps and prawns,zh
"Polyethylene terephthalate (PET), packed for international trade, for customs clearance and import declaration, palletized for container shipment.",390760,Plastics,Polyethylene terephthalate (PET),en
"Boneless frozen bovine meat, bulk pack, for regional retail supply chain, palletized for container shipment.",020230,Meat,Frozen boneless bovine meat,en
"Plates and sheets of ethylene polymers, commercial grade, for import, for industrial procurement contract, for mixed-lot cargo.",392010,Plastics,Plates and sheets of ethylene polymers,en
"เมล็ดกาแฟเขียว ไม่ได้คั่ว ไม่ได้สกัดคาเฟอีน, for bulk procurement program, packed in cartons.",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",th
"Battery electric vehicle, new, for passengers, for bulk procurement program, for 20ft container loading.",870380,Vehicles,"Other motor vehicles, electric",en
"Export grade jerseys, pullovers of man-made fibres, certified, for bulk procurement program, for 20ft container loading.",611030,Garments,"Jerseys, pullovers of man-made fibres",en
"Crude soya-bean oil, quantity: various, for wholesale, for industrial procurement contract, shipping term CIF.",150710,Oils,Crude soya-bean oil,en
"Xiaomi Redmi Note 13, dual SIM phone",851712,Electronics,Smartphones,en
"EV sedan, electric motor, zero emissions",870380,Vehicles,"Other motor vehicles, electric",en
"Upholstered seats with wooden frames - standard quality, bulk shipment, for bulk procurement program, for mixed-lot cargo.",940161,Furniture,Upholstered seats with wooden frames,en
"Shipment of other needles, catheters, FOB terms, for bulk procurement program, with standard commercial invoice and packing list.",901839,Medical,"Other needles, catheters",en
"Soya beans, other, packed for international trade, for customs clearance and import declaration, for 20ft container loading.",120190,Oil Seeds,"Soya beans, other",en
มะเขือเทศเชอร์รี่สด แพ็ค 250 กรัม,070200,Vegetables,"Tomatoes, fresh or chilled",th
"Shipment of ethylene glycol, FOB terms, for customs clearance and import declaration, shipping term CIF.",290531,Chemicals,Ethylene glycol,en
"Imported other medium petroleum oils, customs declaration, for customs clearance and import declaration, palletized for container shipment.",271019,Mineral Fuels,Other medium petroleum oils,en
"Paracetamol tablets, 500mg, retail packed",300490,Pharmaceuticals,"Other medicaments, packaged for retail",en
Sandals with rubber soles,640399,Footwear,Other footwear with rubber soles,en
"Processing units for digital machines for industrial/commercial use, for customs clearance and import declaration, for mixed-lot cargo.",847150,Electronics,Processing units for digital machines,en
"Insecticides, meeting international standards",380891,Chemicals,Insecticides,en
"Imported milk powder, fat content ≤1.5%, customs declaration, for international wholesale distribution, palletized for container shipment.",040210,Dairy,"Milk powder, fat content ≤1.5%",en
"Trade declaration: natural gas, liquefied, new",271111,Mineral Fuels,"Natural gas, liquefied",en
"Green coffee beans, Indonesian Sumatra",090111,Coffee/Tea,"Coffee, not roasted, not decaffeinated",en
"Imported cocoa beans, whole or broken, customs declaration",180100,Cocoa,"Cocoa beans, whole or broken",en
"Spark-ignition engines >1000cc, packed for international trade, for international wholesale distribution, shipping term FOB.",840734,Machinery,Spark-ignition engines >1000cc,en
"Vegetable saps and extracts - standard quality, bulk shipment",130219,Plants,Vegetable saps and extracts,en
"Parts of turbo-jets, packed for international trade, for bonded warehouse delivery, for mixed-lot cargo.",841191,Machinery,Parts of turbo-jets,en
"Grade A boneless beef, refrigerated, for customs clearance and import declaration, for scheduled maritime transport.",020130,Meat,Fresh or chilled boneless bovine meat,en
"Export grade extracts and concentrates of coffee, certified, for industrial procurement contract, for scheduled maritime transport.",210111,Food Preparations,Extracts and concentrates of coffee,en
"Crude soya-bean oil, quantity: various, for wholesale",150710,Oils,Crude soya-bean oil,en
"Shipment of other palm oil, FOB terms, for export under standard commercial terms, with standard commercial invoice and packing list.",151190,Oils,Other palm oil,en
"Petroleum oils, crude - standard quality, bulk shipment, for customs clearance and import declaration, for mixed-lot cargo.",270900,Mineral Fuels,"Petroleum oils, crude",en
"Wine in containers ≤2L, quantity: various, for wholesale, for cross-border shipment, for scheduled maritime transport.",220421,Beverages,Wine in containers ≤2L,en
"Turbinado sugar, partially refined, for cross-border shipment, shipping term CIF.",170199,Sugar,Other cane or beet sugar,en
"Motor cars, >3000cc for industrial/commercial use",870324,Vehicles,"Motor cars, >3000cc",en
"Printed circuits, quantity: various, for wholesale",853400,Electronics,Printed circuits,en
"Imported women's trousers of cotton, customs declaration, for regional retail supply chain, for 20ft container loading.",620462,Garments,Women's trousers of cotton,en
"Semi-milled brown rice, organic, for export under standard commercial terms, for 20ft container loading.",100630,Cereals,Semi-milled or wholly milled rice,en
"Optical fibres and bundles, meeting international standards, for export under standard commercial terms, for scheduled maritime transport.",900190,Instruments,Optical fibres and bundles,en
"Unwrought aluminium alloys, quantity: various, for wholesale, for export under standard commercial terms, palletized for container shipment.",760120,Metals,Unwrought aluminium alloys,en
"Export grade upholstered seats with wooden frames, certified, for cross-border shipment, with standard commercial invoice and packing list.",940161,Furniture,Upholstered seats with wooden frames,en
"แล็ปท็อปสำหรับนักเรียน จอ 15.6 นิ้ว, for international wholesale distribution, for scheduled maritime transport.",847130,Electronics,Portable digital computers <10kg,th
"Mineral or chemical fertilizers with NPK, meeting international standards",310520,Chemicals,Mineral or chemical fertilizers with NPK,en
"Export grade other seats, certified",940180,Furniture,Other seats,en
"Trade declaration: electronic integrated circuits, memories, new, for export under standard commercial terms, shipping term CIF.",854232,Electronics,"Electronic integrated circuits, memories",en
"Plates and sheets of ethylene polymers for industrial/commercial use, for international wholesale distribution, with standard commercial invoice and packing list.",392010,Plastics,Plates and sheets of ethylene polymers,en
"Imported toilet and kitchen linen of cotton, customs declaration, for industrial procurement contract, palletized for container shipment.",630260,Textiles,Toilet and kitchen linen of cotton,en
"Plain white cotton undershirts, pack of 3, for regional retail supply chain, shipping term FOB.",610910,Garments,"T-shirts and singlets, cotton, knitted",en
"Steel coils, hot rolled, 1250mm width, for bonded warehouse delivery, palletized for container shipment.",720839,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Shipment of aeroplanes, unladen weight 2000-15000kg, FOB terms, for bonded warehouse delivery, shipping term FOB.",880230,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Export grade printed circuits, certified, for bulk procurement program, shipping term CIF.",853400,Electronics,Printed circuits,en
"Other medical instruments, packed for international trade, for industrial procurement contract, shipping term CIF.",901890,Medical,Other medical instruments,en
"电动汽车锂离子电池组 400V, for bonded warehouse delivery, shipping term CIF.",850760,Electronics,Lithium-ion accumulators,zh
"Shipment of other parts for motor vehicles, FOB terms",870899,Vehicles,Other parts for motor vehicles,en
"Whiskies - standard quality, bulk shipment",220830,Beverages,Whiskies,en
"Wooden nightstand with two drawers, for bonded warehouse delivery, for scheduled maritime transport.",940350,Furniture,Wooden bedroom furniture,en
"Refined copper cathodes, commercial grade, for import, for bulk procurement program, with standard commercial invoice and packing list.",740311,Metals,Refined copper cathodes,en
"Pepper, neither crushed nor ground, commercial grade, for import, for regional retail supply chain, for mixed-lot cargo.",090411,Spices,"Pepper, neither crushed nor ground",en
"Polyethylene terephthalate (PET), commercial grade, for import",390760,Plastics,Polyethylene terephthalate (PET),en
